Reef_name;Site_name;HAB;Latitude;Longitude;Depth_m;Arch;unique_id;mean_DLI_local;cv_DLI_local;cv_DLI_local_segment_count;sst_mean;sst_cv_all;sst_cv_all_segment_count;prop_DHW_gt4;prop_DHW_gt8;chl_mean;chl_cv_all;chl_cv_all_segment_count;PC1_Variability;PC2_Variability;PC1_Magnitude;PC2_Magnitude
UCR;PLE;PA;-17,783;-39,051;6,1;inner;PLE_PA;13,29711327;41,65953469;565;25,75346375;5,225964069;7384;0,006647673;0;2,467044353;27,15368652;568;-0,102025548;1,212640097;0,429752909;-1,615646072
UCR;PLE;TP;-17,783;-39,051;2,3;inner;PLE_TP;29,58933633;25,63801434;565;25,75346375;5,225964069;7384;0,006647673;0;2,467044353;27,15368652;568;-0,798175351;1,983655863;0,732401369;-0,159174621
ITA;ITA3;PA;-16,903;-39,031;12,3;inner;ITA3_PA;6,811721996;78,72560734;697;25,64889717;4,40844059;7384;0,004477004;0;1,904224634;53,22238922;699;1,834614125;-2,875680393;0,765392131;-1,961007561
ITA;ITA-NT3;PA;-16,914;-39,03;11,9;inner;ITA-NT3_PA;7,224649121;76,90625009;697;25,64889717;4,40844059;7384;0,004477004;0;1,904224634;53,22238922;699;1,755561378;-2,788126085;0,785888598;-1,862369958
ITA;ITA7;PA;-16,898;-39,04;5,6;inner;ITA7_PA;19,28659308;45,42896433;697;25,65650749;4,396832943;7384;0,004205671;0;1,904224634;53,22238922;699;0,373118756;-1,308586256;0,992616613;-0,125041772
ITA;ITA-NT2;PA;-16,912;-39,038;6,7;inner;ITA-NT2_PA;16,11842376;51,1997733;697;25,64889717;4,40844059;7384;0,004477004;0;1,904224634;53,22238922;699;0,638591305;-1,551033819;1,077565006;-0,45870063
UCR;SGO;PA;-17,913;-39,145;8,2;inner;SGO_PA;9,014675076;55,4344853;564;25,74169159;5,365728378;7384;0,010039343;0;2,42671299;37,08443451;567;1,193121298;1,042614434;1,088943455;-2,753404645
ITA;ITA2;PA;-16,905;-39,041;6,2;inner;ITA2_PA;17,48046051;48,58294322;697;25,64889717;4,40844059;7384;0,004477004;0;1,904224634;53,22238922;699;0,524887629;-1,425102122;1,108028532;-0,312097354
ITA;ITA7;TP;-16,898;-39,04;2,6;inner;ITA7_TP;32,06043897;29,82544001;697;25,65650749;4,396832943;7384;0,004205671;0;1,904224634;53,22238922;699;-0,304868735;-0,557686028;1,186947131;0,810158266
ITA;ITA2;TP;-16,905;-39,041;2,2;inner;ITA2_TP;34,38168643;27,83962435;697;25,64889717;4,40844059;7384;0,004477004;0;1,904224634;53,22238922;699;-0,376428665;-0,426855666;1,366463757;0,931601447
UCR;SGO;TP;-17,913;-39,145;3,2;inner;SGO_TP;24,7339915;29,61413989;564;25,74169159;5,365728378;7384;0,010039343;0;2,42671299;37,08443451;567;0,071203527;2,285186486;1,464476196;-0,946183436
ITA;ITA5;PA;-16,901;-39,042;3,6;inner;ITA5_PA;22,67346107;30,32821068;641;25,64889717;4,40844059;7384;0,004477004;0;2,63612318;30,06028175;643;-1,479507391;-0,705812777;1,643339641;0,108860769
ITA;ITA4;PA;-16,896;-39,063;4,5;inner;ITA4_PA;18,63290178;34,35247472;641;25,63323402;4,375338554;7384;0,003934337;0;2,63612318;30,06028175;643;-1,346643019;-1,000043516;1,663850257;-0,101184915
ITA;ITA6;PA;-16,892;-39,063;4,3;inner;ITA6_PA;19,46056052;33,42591349;641;25,63323402;4,375338554;7384;0,003934337;0;2,63612318;30,06028175;643;-1,386902957;-0,955453908;1,680280921;-0,02211366
ITA;ITA1;PA;-16,899;-39,063;4,2;inner;ITA1_PA;19,888734;32,96945573;641;25,63323402;4,375338554;7384;0,003934337;0;2,63612318;30,06028175;643;-1,406736467;-0,933487445;1,688521977;0,017545761
ITA;ITA-NT1;PA;-16,909;-39,06;4,6;inner;ITA-NT1_PA;18,23297267;34,82252529;641;25,62652779;4,390548706;7384;0,003934337;0;2,63612318;30,06028175;643;-1,306923125;-0,976453816;1,742544121;-0,112072935
ITA;ITA5;TP;-16,901;-39,042;1,5;inner;ITA5_TP;36,08817885;22,54268153;641;25,64889717;4,40844059;7384;0,004477004;0;2,63612318;30,06028175;643;-1,817795798;-0,331143857;1,82197915;0,968549086
ITA;ITA4;TP;-16,896;-39,063;1,5;inner;ITA4_TP;36,08817885;22,54268153;641;25,63323402;4,375338554;7384;0,003934337;0;2,63612318;30,06028175;643;-1,859789402;-0,431711888;1,916957894;1,116875299
ITA;ITA6;TP;-16,892;-39,063;1,4;inner;ITA6_TP;36,90447454;22,23726836;641;25,63323402;4,375338554;7384;0,003934337;0;2,63612318;30,06028175;643;-1,873059885;-0,417014258;1,92562076;1,158564649
ITA;ITA1;TP;-16,899;-39,063;1,3;inner;ITA1_TP;37,74004125;21,93877122;641;25,63323402;4,375338554;7384;0,003934337;0;2,63612318;30,06028175;643;-1,88602986;-0,402649454;1,934297028;1,20031849
ITA;ITA-NT1;TP;-16,909;-39,06;1,7;inner;ITA-NT1_TP;34,51156773;23,17360586;641;25,62652779;4,390548706;7384;0,003934337;0;2,63612318;30,06028175;643;-1,813079394;-0,415864037;1,986555875;1,062214066
