SITE_COL;YEAR;SITE;HAB;REEF;HEALTH_PC1;HEALTH_PC2;HEALTH %;BLEACHING %;DEAD %
ARE_5;2006;ARE;TP;UCR;-0,628529066;-0,567512216;45,60331928;51,12229629;3,274384437
TIM2_4;2008;TIM2;PA;TIM;-0,622843076;1,693744865;40,31624341;26,71777671;32,96597988
PAB2_6;2007;PAB2;TP;PAB;-0,604230498;0,48531371;43,53696099;39,45071869;17,01232033
ITA4_1;2008;ITA4;PA;ITA;-0,566185401;1,440448544;41,9544592;28,63377609;29,41176471
PA2_2;2007;PA2;PA;UCR;-0,55766843;-0,795206768;47,43979171;52,56020829;0
PA2_9;2006;PA2;TP;UCR;-0,494613583;-0,776087255;48,54535083;51,45464917;0
FAR_4;2007;FAR;RR;ARC;-0,484599197;-0,680848487;48,50112416;50,28728454;1,211591307
MVE_1;2006;MVE;RR;ARC;-0,475715122;-0,347394304;47,86835222;46,57367044;5,557977332
TIM2_1;2008;TIM2;PA;TIM;-0,474459302;-0,769976068;48,89872173;51,10127827;0
MVE_1;2008;MVE;RR;ARC;-0,45632216;-0,764476517;49,21672556;50,78327444;0
PAB2_3;2008;PAB2;TP;PAB;-0,453414162;-0,214599401;47,95889689;44,8269805;7,214122607
TIM1_6;2007;TIM1;TP;TIM;-0,440500468;-0,759679058;49,49413193;50,50586807;0
ITA6_2;2006;ITA6;PA;ITA;-0,402002208;-0,748005603;50,16913319;49,83086681;0
ITA7_2;2008;ITA7;TP;ITA;-0,387718473;0,908521716;46,48070665;31,80846118;21,71083217
FAR_6;2006;FAR;RR;ARC;-0,380149164;0,136940692;48,45835727;40;11,54164273
FAR_2;2008;FAR;RR;ARC;-0,367147927;2,889681289;42,13312369;10,20440252;47,66247379
PAB2_4;2006;PAB2;TP;PAB;-0,34212122;-0,545613925;50,77982541;46,79922405;2,420950533
PAB1_4;2006;PAB1;TP;PAB;-0,322022348;-0,654141402;51,40548554;47,67976279;0,914751668
GUA_1;2008;GUA;RR;ARC;-0,275646891;-0,478035028;51,83228308;45,1236064;3,044110519
ITA4_4;2008;ITA4;PA;ITA;-0,273543249;-0,709054234;52,42144177;47,57855823;0
TIM3_4;2006;TIM3;TP;TIM;-0,273487447;-0,303845276;51,45643456;43,21910317;5,324462268
PA2_6;2006;PA2;PA;UCR;-0,251838783;-0,702472998;52,80199253;47,19800747;0
PAB2_3;2007;PAB2;TP;PAB;-0,249631642;-0,701803748;52,84069098;47,15930902;0
PAB2_6;2008;PAB2;TP;PAB;-0,24958816;-0,209447494;51,66769802;41,86262376;6,469678218
PAB2_3;2006;PAB2;TP;PAB;-0,223990364;-0,694028791;53,29026701;46,70973299;0
TIM2_9;2008;TIM2;TP;TIM;-0,222424466;-0,177855917;52,08828829;41,13513514;6,776576577
FAR_2;2007;FAR;RR;ARC;-0,222054915;0,615229852;57,47263017;38,51357365;19,8081887
