REEF_NAME;SITE_NAME;HAB;LATITUDE;LONGITUDE;DEPTH_M;ARCH;UNIQUE_LABEL;SST_PERIOD_PRIMARY;SST_FAP_PRIMARY;DLI_PERIOD_PRIMARY;DLI_FAP_PRIMARY;CHL_PERIOD_PRIMARY;CHL_FAP_PRIMARY;SST_PERIOD_SECONDARY;SST_FAP_SECONDARY;DLI_PERIOD_SECONDARY;DLI_FAP_SECONDARY;CHL_PERIOD_SECONDARY;CHL_FAP_SECONDARY
ITA ;ITA-NT1;PA;-16,909;-39,06;4,6;inner;ITA-NT1 (4.6m);365,0182196772514;0,0;368,8352162056876;1,0097509115012717e-140;368,8352162056876;1,3811787419123492e-34;112,09236234458258;5,105401189543025e-33;2,2859626249456757;1,0045547186258472e-07;14,752259270800872;5,890592373454765e-07
ITA ;ITA-NT2;PA;-16,912;-39,038;6,7;inner;ITA-NT2 (6.7m);365,0182196772514;0,0;363,17606444188726;3,045402289510701e-190;363,17606444188726;1,660724838399653e-108;112,23589670626734;4,066340951290181e-32;;;;
ITA ;ITA-NT3;PA;-16,914;-39,03;11,9;inner;ITA-NT3 (11.9m);365,0182196772514;0,0;368,8352162056876;1,737179056811902e-151;363,17606444188726;1,660724838399653e-108;112,23589670626734;4,066340951290181e-32;;;;
PAB;PAB1;TP;-17,991;-38,65;5,9;outer;PAB1 (5.9m);365,0182196772514;0,0;368,8594783962631;1,3990340718370247e-249;368,8594783962631;5,603193433080418e-21;33,21403759920844;1,3449700236725136e-36;33,10457262634888;3,373043015671951e-08;40,24728645587541;1,4314415824753154e-05
PAB;PAB1;PA;-17,991;-38,65;14,7;outer;PAB1 (14.7m);365,0182196772514;0,0;368,8594783962631;4,514008204819905e-180;368,8594783962631;5,603193433080418e-21;33,21403759920844;1,3449700236725136e-36;130,4435607219333;0,005009187454965577;40,24728645587541;1,4314415824753154e-05
PAB;PAB2;TP;-17,983;-38,667;7,3;outer;PAB2 (7.3m);365,0182196772514;0,0;368,8594783962631;1,6577300118734494e-206;368,8594783962631;3,0131990006663392e-27;33,21403759920844;1,3449700236725136e-36;28,14839263317711;0,0020840334071953967;2,301427530561028;0,04001542322060761
PAB;PAB2;PA;-17,983;-38,667;16,9;outer;PAB2 (16.9m);365,0182196772514;0,0;368,8594783962631;3,7617116163090275e-164;368,8594783962631;3,0131990006663392e-27;33,21403759920844;1,3449700236725136e-36;131,16579513995694;0,02898860974306235;2,301427530561028;0,04001542322060761
PAB;PAB3;TP;-17,998;-38,671;6,9;outer;PAB3 (6.9m);365,0182196772514;0,0;368,8594783962631;6,842013736125726e-210;368,8594783962631;3,0131990006663392e-27;33,21403759920844;1,3449700236725136e-36;28,14839263317711;0,0011841540761952588;2,301427530561028;0,04001542322060761
PAB;PAB3;PA;-17,998;-38,671;17,0;outer;PAB3 (17.0m);365,0182196772514;0,0;368,8594783962631;6,6316801165343435e-164;368,8594783962631;3,0131990006663392e-27;33,21403759920844;1,3449700236725136e-36;131,16579513995694;0,028806594305833644;2,301427530561028;0,04001542322060761
PAB;PAB4;TP;-17,959;-38,655;7,7;outer;PAB4 (7.7m);365,0182196772514;0,0;368,8594783962631;2,182090750077955e-228;368,8594783962631;5,603193433080418e-21;33,21403759920844;1,3449700236725136e-36;33,10457262634888;8,951869793232218e-06;40,24728645587541;1,4314415824753154e-05
